N,종목명,현재가,전일비,등락률,액면가,전일거래량,PER,PBR,PBR_weighted
224.0,DL,55400.0,"상승  1,900",+3.55%,5000.0,62347.0,-15.27,0.32,0.384
225.0,코오롱인더,42050.0,상승  350,+0.84%,5000.0,71171.0,35.91,0.45,0.54
226.0,HDC현대산업개발,17550.0,상승  170,+0.98%,5000.0,187336.0,7.1,0.38,0.45599999999999996
227.0,LX세미콘,71100.0,"상승  2,100",+3.04%,500.0,63178.0,10.95,1.17,1.404
228.0,대덕전자,23150.0,보합0,0.00%,500.0,346969.0,73.96,1.39,1.668
229.0,TIGER TOP10,11940.0,하락  135,-1.12%,0.0,95179.0,,,
230.0,TIGER MSCI Korea TR,15205.0,하락  10,-0.07%,0.0,787.0,,,
231.0,코스모화학,29100.0,상승  900,+3.19%,1000.0,87073.0,-38.34,3.88,4.656
232.0,SK네트웍스,5050.0,상승  150,+3.06%,2500.0,943494.0,315.62,0.48,0.576
233.0,KBSTAR 종합채권(A-이상)액티브,101910.0,상승  40,+0.04%,0.0,2804.0,,,
234.0,HD현대건설기계,57000.0,보합0,0.00%,5000.0,123021.0,9.89,0.64,0.768
235.0,KG모빌리티,5400.0,상승  90,+1.69%,5000.0,458865.0,21.86,0.9,1.08
236.0,한화엔진,12520.0,하락  20,-0.16%,1000.0,340266.0,103.47,3.18,3.816
237.0,ESR켄달스퀘어리츠,4825.0,상승  35,+0.73%,1000.0,189620.0,20.19,0.93,1.116
238.0,ACE 미국S&P500,18260.0,상승  40,+0.22%,0.0,245650.0,,,
239.0,롯데렌탈,27850.0,상승  650,+2.39%,5000.0,36862.0,10.68,0.76,0.9119999999999999
240.0,대한유화,151500.0,"상승  6,300",+4.34%,5000.0,29203.0,-54.52,0.52,0.624
241.0,롯데손해보험,3125.0,하락  30,-0.95%,1000.0,552646.0,3.22,0.77,0.9239999999999999
242.0,TIGER 미국배당다우존스,11355.0,상승  185,+1.66%,0.0,718794.0,,,
243.0,한일시멘트,13870.0,상승  660,+5.00%,500.0,40314.0,4.77,0.61,0.732
244.0,미원상사,201500.0,"상승  1,900",+0.95%,500.0,2373.0,17.24,2.53,3.0359999999999996
245.0,대웅,16420.0,상승  520,+3.27%,500.0,113434.0,7.05,0.68,0.8160000000000001
246.0,더블유게임즈,44250.0,상승  850,+1.96%,500.0,25186.0,6.07,0.95,1.14
247.0,메리츠 KIS CD금리투자 ETN,52185.0,하락  15,-0.03%,0.0,0.0,,,
248.0,한세실업,23600.0,"상승  3,350",+16.54%,500.0,79842.0,8.9,1.43,1.716
249.0,오리온홀딩스,14900.0,상승  300,+2.05%,500.0,25951.0,8.76,0.4,0.48
250.0,미래에셋생명,5230.0,하락  30,-0.57%,5000.0,52905.0,8.83,0.23,0.276
251.0,하나투어,57200.0,"상승  1,800",+3.25%,500.0,66071.0,15.19,7.77,9.324
252.0,SK케미칼,53100.0,"상승  1,700",+3.31%,5000.0,77428.0,51.16,0.48,0.576
253.0,비에이치,26450.0,"상승  1,450",+5.80%,500.0,3025767.0,11.88,1.3,1.56
254.0,일진하이솔루스,24950.0,하락  550,-2.16%,500.0,108711.0,-712.86,2.86,3.432
255.0,SK오션플랜트,15110.0,상승  850,+5.96%,500.0,273483.0,20.84,1.28,1.536
256.0,다우기술,19710.0,상승  110,+0.56%,500.0,34510.0,4.39,0.33,0.396
257.0,제주항공,10840.0,상승  190,+1.78%,1000.0,59512.0,6.36,2.44,2.928
258.0,세아제강지주,211000.0,"상승  3,500",+1.69%,5000.0,4929.0,4.05,0.45,0.54
259.0,이노션,21750.0,하락  50,-0.23%,500.0,16557.0,8.14,0.96,1.152
260.0,KODEX 미국나스닥100TR,17050.0,하락  40,-0.23%,0.0,413826.0,,,
261.0,OCI,96600.0,"상승  1,600",+1.68%,5000.0,24775.0,7.61,0.75,0.8999999999999999
262.0,율촌화학,34850.0,상승  950,+2.80%,500.0,125762.0,288.02,2.69,3.2279999999999998
263.0,삼성화재우,265000.0,보합0,0.00%,500.0,6944.0,7.37,0.7,0.84
264.0,KODEX 코스닥150,13285.0,상승  125,+0.95%,0.0,9005925.0,,,
265.0,빙그레,85200.0,"하락  1,200",-1.39%,5000.0,144770.0,8.76,1.18,1.416
266.0,GKL,13480.0,상승  370,+2.82%,500.0,70399.0,25.68,2.08,2.496
267.0,TIGER Fn반도체TOP10,13160.0,하락  105,-0.79%,0.0,1425677.0,,,
268.0,SK디스커버리,44050.0,"상승  1,400",+3.28%,5000.0,19078.0,9.95,0.29,0.348
269.0,롯데관광개발,10840.0,상승  870,+8.73%,500.0,931257.0,-5.53,23.49,28.188
270.0,ACE 미국나스닥100,19610.0,하락  45,-0.23%,0.0,228841.0,,,
271.0,롯데리츠,3385.0,상승  75,+2.27%,500.0,162516.0,109.19,0.79,0.948
272.0,PI첨단소재,28000.0,"상승  1,100",+4.09%,500.0,117337.0,106.46,2.6,3.12
273.0,TIGER 24-10 회사채(A+이상)액티브,54995.0,상승  10,+0.02%,0.0,53563.0,,,
274.0,세아베스틸지주,22800.0,상승  600,+2.70%,5000.0,82172.0,9.39,0.42,0.504
275.0,대상,23500.0,하락  100,-0.42%,1000.0,210204.0,11.39,0.64,0.768
